game,team,p1,p2,p3,p4,p5,p6,p7,p8,p9,p9,p10,p11,p12,p13,r,s
I42,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,1,0
I43,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,3,2
I43,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,1,1
I44,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,2,0
I44,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,2,0
I45,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,3
I45,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,1
I46,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,3,3
I46,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,1,1
I47,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,1
I47,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,0
I48,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,2,1
I48,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,2,1
I49,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,3,6
I49,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,1,2
I50,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,2,1
I50,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,2,1
I51,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,2,2
I51,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,2,2
I52,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,3,2
I52,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,1,0
I53,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,3,1
I53,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,0
I54,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,0
I54,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,2,0
I55,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,0
I55,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,3,2
I56,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,3,3
I56,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,1,1
I57,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,2,0
I57,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,2,0
I58,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,0
I58,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,3,2
I59,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,1
I59,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,3
I60,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,3,3
I60,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,1
I61,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,3
I61,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,1
I62,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,3,2
I62,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,1
I63,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,1
I63,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,1,0
I64,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,2,2
I64,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,2,2
I65,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,3,2
I65,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,1,0
I66,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,2,1
I66,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,2,1
I67,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,0
I67,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,2,0
I68,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,0
I68,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,8
I69,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,2,1
I69,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,2,1
I70,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,2
I70,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,1
I71,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,0
I71,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,1
I72,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,1,0
I72,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,3,2
I73,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,1
I73,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,3
I74,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,3,1
I74,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,0
I75,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,2,2
I75,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,2
I76,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,2
I76,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,3,4
I77,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,1
I77,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,2,1
I78,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,0
I78,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,2,0
I79,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,1
I79,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,3,3
I80,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,4
I80,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,1,1
I81,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,1
I81,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,2,1
I82,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,3
I82,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,1,0
I83,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,2,1
I83,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,2,1
I84,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,4
I84,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,1
I85,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,0
I85,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,1
I86,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,2,1
I86,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,1
I87,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,3,3
I87,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,1
I88,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,2
I88,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,1,0
I89,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,1
I89,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,0
I90,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,1
I90,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,2,1
I91,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,2
I91,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,1,1
I92,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,3,4
I92,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,1,0
I93,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,1
I93,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,1,0
I94,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,0
I94,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,3,4
I95,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,3,3
I95,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,1,1
I96,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,0
I96,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,3,2
I97,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,3
I97,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,1
I98,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,3,2
I98,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,0
XIX1,Philadelphia,0.51,0.84,0.74,0.67,0.55,0.86,0.77,0.62,0.55,0.65,0.49,0,0,0,1,1
XIX1,Toronto FC,0.69,0.65,0.53,0.49,0.36,0.92,0.69,0.64,0.6,0.52,0.04,0,0,0,3,3
XIX2,Orlando City,0.72,0.47,0.45,0.43,0.3,0.69,0.48,0.44,0.4,0.4,0.39,0,0,0,2,2
XIX2,NYCFC,0.6,0.73,0.59,0.54,0.54,0.67,0.5,0.47,0.4,0.76,0.61,0,0,0,2,2
XIX3,FC Dallas,0.58,0.74,0.63,0.47,0.44,0.82,0.61,0.52,0.41,0.4,0.03,0,0,0,2,1
XIX3,New England,0.53,0.6,0.58,0.49,0.4,0.92,0.59,0.45,0.42,0.34,0.18,0,0,0,2,1
XIX4,Columbus,0.27,0.42,0.38,0.35,0.29,0.8,0.63,0.52,0.44,0.44,0.03,0,0,0,2,1
XIX4,NY Red Bulls,0.67,0.56,0.55,0.51,0.44,0.74,0.67,0.66,0.55,0.29,0.11,0,0,0,2,1
XIX5,Vancouver,0.79,0.72,0.52,0.5,0.42,0.66,0.48,0.47,0.44,0.5,0.13,0,0,0,1,2
XIX5,Minnesota,0.81,0.71,0.67,0.64,0.46,0.83,0.7,0.51,0.42,0.24,0.15,0,0,0,3,3
XIX6,Colorado,0.51,0.86,0.42,0.38,0.29,0.65,0.53,0.47,0.42,0.63,0.55,0,0,0,2,3
XIX6,Portland,0.63,0.72,0.56,0.38,0.28,0.88,0.86,0.56,0.36,0.43,0.03,0,0,0,2,3
XIX7,Houston,0.65,0.57,0.44,0.41,0.37,0.6,0.54,0.52,0.52,0.65,0.13,0,0,0,2,1
XIX7,Real Salt Lake,0.61,0.75,0.48,0.48,0.41,0.71,0.69,0.6,0.58,0.59,0.0,0,0,0,2,1
XIX8,LA Galaxy,0.97,0.71,0.55,0.47,0.31,0.77,0.65,0.61,0.51,0.89,0.0,0,0,0,3,2
XIX8,Chicago,0.5,0.56,0.46,0.27,0.21,0.71,0.66,0.66,0.59,0.45,0.37,0,0,0,1,1
XIX9,Seattle,0.82,0.62,0.56,0.52,0.31,0.82,0.65,0.47,0.4,0.61,0.06,0,0,0,3,4
XIX9,FC Cincinnati,0.41,0.56,0.5,0.33,0.21,0.42,0.41,0.37,0.37,0.44,0.29,0,0,0,1,1
XIX10,San Jose,0.72,0.72,0.51,0.48,0.34,0.79,0.73,0.64,0.62,0.44,0.38,0,0,0,1,1
